City,Cloudiness,Country,DateTime,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,75,AR,2020-01-27 02:21:31,70,-54.8,-68.3,48.2,5.82
Yerbogachen,90,RU,2020-01-27 02:21:32,91,61.28,108.01,2.48,11.9
Hobart,75,AU,2020-01-27 02:20:17,42,-42.88,147.33,69.01,12.75
Port Alfred,18,ZA,2020-01-27 02:21:34,76,-33.59,26.89,62.01,5.99
Yellowknife,90,CA,2020-01-27 02:21:35,84,62.46,-114.35,1.4,6.93
Chuy,39,UY,2020-01-27 02:20:58,92,-33.7,-53.46,71.33,8.14
Bethel,90,US,2020-01-27 02:21:37,64,41.37,-73.41,42.8,4.7
Avarua,100,CK,2020-01-27 02:21:13,94,-21.21,-159.78,77.0,8.05
Payson,90,US,2020-01-27 02:21:40,73,40.04,-111.73,39.99,4.7
Den Helder,90,NL,2020-01-27 02:21:41,93,52.96,4.76,46.99,26.4
Bluff,49,NZ,2020-01-27 02:21:42,67,-46.6,168.33,64.99,10.0
Cabo San Lucas,20,MX,2020-01-27 02:21:43,77,22.89,-109.91,69.01,8.05
Crotone,100,IT,2020-01-27 02:21:45,62,39.09,17.12,51.51,7.14
Orsha,98,BY,2020-01-27 02:21:46,88,54.52,30.41,32.52,9.17
Punta Arenas,90,CL,2020-01-27 02:19:12,66,-53.15,-70.92,51.8,13.87
Byron Bay,87,AU,2020-01-27 02:21:48,65,-28.65,153.62,91.0,17.22
New Norfolk,75,AU,2020-01-27 02:21:49,42,-42.78,147.06,69.01,12.75
Albany,90,US,2020-01-27 02:17:34,64,42.6,-73.97,39.2,5.19
Rikitea,14,PF,2020-01-27 02:21:51,79,-23.12,-134.97,79.34,11.39
Hami,0,CN,2020-01-27 02:21:52,63,42.8,93.45,12.7,1.74
Saint-Georges,20,GD,2020-01-27 02:21:54,83,12.06,-61.75,77.0,5.82
Melito Di Porto Salvo,40,IT,2020-01-27 02:21:55,87,37.92,15.77,57.0,3.36
Yar-Sale,98,RU,2020-01-27 02:21:56,99,66.83,70.83,-10.37,2.57
Vaini,40,TO,2020-01-27 02:21:57,79,-21.2,-175.2,86.0,8.05
Norman Wells,75,CA,2020-01-27 02:21:58,69,65.28,-126.83,-13.0,17.22
Pevek,100,RU,2020-01-27 02:21:59,94,69.7,170.31,-5.13,1.63
Broken Hill,0,AU,2020-01-27 02:22:01,19,-31.95,141.43,91.4,11.41
Taganak,40,PH,2020-01-27 02:22:02,88,6.08,118.3,82.4,1.12
Khvoynaya,57,RU,2020-01-27 02:21:03,89,58.9,34.53,18.25,3.4
Touros,40,BR,2020-01-27 02:22:05,88,-5.2,-35.46,80.6,3.36
Castro,0,BR,2020-01-27 02:22:06,94,-24.79,-50.01,63.45,3.09
Butaritari,100,KI,2020-01-27 02:22:07,81,3.07,172.79,81.86,12.86
Geraldton,0,AU,2020-01-27 02:22:08,36,-28.77,114.6,93.2,8.05
Bloomington,90,US,2020-01-27 02:19:50,92,44.84,-93.3,28.99,5.82
Souillac,75,MU,2020-01-27 02:22:10,83,-20.52,57.52,77.0,11.41
Cape Town,20,ZA,2020-01-27 02:20:02,87,-33.93,18.42,61.0,5.82
Qaanaaq,0,GL,2020-01-27 02:22:13,53,77.48,-69.36,-10.32,4.09
Mar Del Plata,0,AR,2020-01-27 02:18:43,51,-38.0,-57.56,62.6,23.04
